city,state,lat,lon
Adak,AK,55.999722,-161.207778
Akiachak,AK,60.891854,-161.39233
Akiak,AK,60.890632,-161.199325
Akutan,AK,54.143012,-165.785368
Alakanuk,AK,62.746967,-164.60228
Aleknagik,AK,59.269688,-158.619882
Allakaket,AK,66.543197,-152.712155
Ambler,AK,67.46951,-156.455652
Anaktuvuk Pass,AK,68.11878,-151.679005
Anchor Point,AK,59.788818,-151.732933
Anchorage,AK,61.211571,-149.876077
Anderson,AK,64.300693,-149.1718
Angoon,AK,57.569832,-134.371052
Aniak,AK,61.691648,-157.758502
Anvik,AK,62.830913,-160.130441
Arctic Village,AK,68.077395,-145.423115
Atka,AK,52.199167,-174.213333
Atqasuk,AK,71.290556,-156.788611
Auke Bay,AK,58.3833,-134.6597
Barrow,AK,71.234637,-156.817409
Beaver,AK,66.33883,-147.279803
Bethel,AK,60.832389,-161.824053
Bettles Field,AK,67.100495,-151.062414
Big Lake,AK,61.5842,-149.4401
Brevig Mission,AK,65.334187,-166.478578
Buckland,AK,65.981052,-161.131676
Cantwell,AK,63.395458,-148.89735
Central,AK,65.468058,-144.74886
Chalkyitsik,AK,66.719,-143.638121
Chefornak,AK,60.153746,-164.210294
Chevak,AK,61.583982,-164.776457
Chicken,AK,64.075,-141.933333
Chignik,AK,56.301639,-158.415696
Chignik Lagoon,AK,56.251277,-158.673528
Chignik Lake,AK,56.255556,-158.7625
Chitina,AK,61.516667,-144.436667
Chugiak,AK,61.409802,-149.453736
Circle,AK,65.824542,-144.08262
Clam Gulch,AK,60.201603,-151.422628
Clarks Point,AK,58.84921,-158.451241
Clear,AK,64.418121,-149.139885
Coffman Cove,AK,55.342222,-131.646111
Cold Bay,AK,55.610952,-161.942941
Cooper Landing,AK,60.476692,-149.823514
Copper Center,AK,61.91581,-144.97793
Cordova,AK,60.102558,-147.943316
Craig,AK,55.47317,-133.117081
Crooked Creek,AK,61.818072,-158.002483
Deering,AK,66.062265,-162.711951
Delta Junction,AK,64.005426,-145.613611
Denali National Park,AK,63.516075,-149.539532
Dillingham,AK,59.059279,-158.973533
Douglas,AK,58.275597,-134.395041
Dutch Harbor,AK,53.362757,-167.510656
Eagle,AK,64.783333,-141.2
Eagle River,AK,61.311357,-149.508515
Eek,AK,60.215058,-162.032341
Egegik,AK,58.206174,-157.342202
Eielson Afb,AK,64.67352,-147.08051
Ekwok,AK,59.362792,-157.478211
Elfin Cove,AK,58.195,-136.358333
Elim,AK,64.621662,-162.260371
Elmendorf Afb,AK,61.251531,-149.812667
Emmonak,AK,62.827404,-164.131298
Ester,AK,64.846667,-148.016667
Fairbanks,AK,64.840238,-147.710431
False Pass,AK,54.841028,-163.436845
Fort Greely,AK,64.036667,-145.733333
Fort Richardson,AK,61.275256,-149.675454
Fort Wainwright,AK,64.828303,-147.655673
Fort Yukon,AK,66.520744,-145.306439
Gakona,AK,62.654744,-143.568393
Galena,AK,64.760784,-156.797701
Gambell,AK,63.776555,-171.701685
Girdwood,AK,60.9425,-149.166389
Glennallen,AK,62.103895,-145.661684
Goodnews Bay,AK,59.085008,-161.587146
Grayling,AK,63.372013,-159.404907
Gustavus,AK,58.42835,-135.761542
Haines,AK,59.251886,-135.542032
Healy,AK,63.917123,-149.011128
Holy Cross,AK,62.192584,-159.825092
Homer,AK,59.665495,-151.462644
Hoonah,AK,58.032237,-135.558435
Hooper Bay,AK,61.537157,-165.891045
Hope,AK,60.92,-149.641667
Houston,AK,61.633611,-149.841111
Hughes,AK,66.038246,-154.26443
Huslia,AK,65.689918,-156.291976
Hydaburg,AK,55.137406,-132.633175
Hyder,AK,55.925867,-130.124915
Iliamna,AK,59.564836,-155.462556
Indian,AK,60.9804,-149.4917
Juneau,AK,58.362767,-134.529429
Kake,AK,56.975833,-133.947222
Kaktovik,AK,70.042889,-143.631329
Kalskag,AK,61.541006,-160.3261
Kaltag,AK,64.330452,-158.724251
Karluk,AK,57.57,-154.458333
Kasigluk,AK,60.895556,-162.520556
Kasilof,AK,60.316365,-151.28958
Kenai,AK,60.614467,-151.254556
Ketchikan,AK,55.372028,-131.683175
Kiana,AK,67.18026,-158.152204
King Cove,AK,55.062848,-162.305561
King Salmon,AK,58.724264,-156.641603
Kipnuk,AK,59.923204,-164.101013
Kivalina,AK,67.665859,-163.733617
Klawock,AK,55.552611,-133.055503
Kobuk,AK,66.912253,-157.066864
Kodiak,AK,57.781967,-152.500169
Kongiganak,AK,60.9888,-149.4116
Kotlik,AK,63.029471,-163.554153
Kotzebue,AK,66.846459,-162.126493
Koyuk,AK,64.931668,-161.149957
Koyukuk,AK,64.883333,-157.7
Kwethluk,AK,60.771814,-161.38849
Kwigillingok,AK,59.881022,-162.984938
Lake Minchumina,AK,63.903884,-152.430081
Larsen Bay,AK,57.538333,-153.98
Levelock,AK,59.371395,-154.976815
Lower Kalskag,AK,61.51377,-160.359966
Manley Hot Springs,AK,65.02058,-150.573267
Manokotak,AK,59.009559,-158.989699
Marshall,AK,61.837087,-161.7394
Mc Grath,AK,62.967153,-155.585153
Mekoryuk,AK,60.365679,-166.283583
Metlakatla,AK,55.121491,-131.579001
Meyers Chuck,AK,55.741667,-132.253333
Minto,AK,65.058399,-149.691186
Moose Pass,AK,60.85852,-149.255911
Mountain Village,AK,62.158913,-163.883822
Naknek,AK,58.885699,-156.705405
Napakiak,AK,60.663758,-161.738144
Nenana,AK,64.557656,-149.086744
New Stuyahok,AK,59.593533,-157.297205
Nightmute,AK,60.479444,-164.723889
Nikiski,AK,60.690278,-151.288889
Nikolai,AK,63.001603,-154.381247
Nikolski,AK,52.988337,-168.788427
Ninilchik,AK,60.010833,-151.639604
Noatak,AK,66.97553,-160.509453
Nome,AK,64.505775,-165.310667
Nondalton,AK,60.030837,-154.731675
Noorvik,AK,66.836353,-161.044132
North Pole,AK,64.78049,-147.369353
Northway,AK,62.964167,-141.908611
Nuiqsut,AK,70.192737,-150.997119
Nulato,AK,64.778024,-157.991353
Nunam Iqua,AK,62.509167,-164.453333
Nunapitchuk,AK,60.896944,-162.459444
Old Harbor,AK,57.202778,-153.303889
Ouzinkie,AK,57.925,-152.491667
Palmer,AK,61.613814,-149.065323
Pedro Bay,AK,59.92238,-153.821856
Pelican,AK,57.960833,-136.2275
Perryville,AK,55.945289,-159.259333
Petersburg,AK,56.827134,-133.160683
Pilot Point,AK,57.595193,-157.449272
Pilot Station,AK,61.946159,-162.874716
Platinum,AK,58.63364,-162.043201
Point Baker,AK,56.307858,-133.376372
Point Hope,AK,68.312058,-166.72618
Point Lay,AK,69.705626,-162.906148
Port Alexander,AK,57.05,-135.333333
Port Alsworth,AK,60.636416,-154.433803
Port Heiden,AK,56.964333,-158.566367
Port Lions,AK,57.866667,-152.883333
Prudhoe Bay,AK,70.070057,-148.559636
Quinhagak,AK,59.738057,-161.874938
Rampart,AK,65.383627,-150.011201
Red Devil,AK,61.735389,-157.195969
Ruby,AK,64.720062,-155.503872
Russian Mission,AK,61.591302,-161.558413
Saint George Island,AK,56.60324,-169.547257
Saint Marys,AK,62.054106,-163.205263
Saint Michael,AK,63.47759,-162.109141
Saint Paul Island,AK,57.178697,-170.293408
Salcha,AK,64.50905,-146.952974
Sand Point,AK,55.319236,-160.491435
Savoonga,AK,63.679737,-170.470908
Scammon Bay,AK,61.845019,-165.581945
Selawik,AK,65.713537,-158.534287
Seldovia,AK,59.436667,-151.708333
Seward,AK,60.132874,-149.39849
Shageluk,AK,62.661092,-159.52816
Shaktoolik,AK,64.375498,-161.174589
Shishmaref,AK,66.230562,-166.137276
Shungnak,AK,66.958141,-157.613496
Sitka,AK,57.051436,-135.316569
Skagway,AK,59.468471,-135.301794
Skwentna,AK,61.958333,-151.181667
Sleetmute,AK,61.634555,-157.118284
Soldotna,AK,60.481778,-151.13582
South Naknek,AK,58.736221,-156.850289
Stebbins,AK,63.478468,-162.227355
Sterling,AK,60.520373,-150.849792
Stevens Village,AK,65.995894,-149.118286
Sutton,AK,61.796667,-148.462778
Takotna,AK,62.948889,-155.566389
Talkeetna,AK,62.260516,-150.110097
Tanacross,AK,63.385278,-143.346389
Tanana,AK,65.156483,-152.103747
Tatitlek,AK,60.864722,-146.678611
Teller,AK,65.240164,-166.3833
Tenakee Springs,AK,57.78,-135.216667
Thorne Bay,AK,55.66086,-132.513815
Togiak,AK,59.066667,-160.4
Tok,AK,63.333333,-142.983333
Toksook Bay,AK,60.537,-165.097
Trapper Creek,AK,61.441361,-150.284455
Tuluksak,AK,61.108848,-160.938924
Tuntutuliak,AK,60.8438,-161.6372
Tununak,AK,60.539322,-165.097464
Two Rivers,AK,64.871944,-147.038056
Tyonek,AK,61.117929,-151.348495
Unalakleet,AK,63.883478,-160.788365
Unalaska,AK,53.887114,-166.519855
Valdez,AK,60.895044,-146.195628
Venetie,AK,67.010446,-146.413723
Wainwright,AK,70.620064,-160.012532
Wales,AK,65.688212,-168.520521
Ward Cove,AK,55.408333,-131.725
Wasilla,AK,61.5814,-149.4394
White Mountain,AK,64.702791,-163.42185
Whittier,AK,60.775,-148.683333
Willow,AK,61.771511,-150.188891
Wrangell,AK,56.433524,-132.352918
Yakutat,AK,59.620211,-139.778858
Abbeville,AL,31.575479,-85.279044
Abernant,AL,33.290278,-87.198056
Adamsville,AL,33.588437,-86.959727
Addison,AL,34.205571,-87.194766
Adger,AL,33.434277,-87.167455
Akron,AL,32.872354,-87.708558
Alabaster,AL,33.236868,-86.812861
Alberta,AL,32.144889,-87.342503
Albertville,AL,34.273859,-86.206447
Alexander City,AL,32.941445,-85.951086
Alexandria,AL,33.780785,-85.892447
Aliceville,AL,33.122813,-88.166689
Allgood,AL,33.911944,-86.509444
Alma,AL,31.463889,-87.753889
Alpine,AL,33.331165,-86.208934
Alton,AL,33.579167,-86.6375
Altoona,AL,34.042916,-86.350879
Andalusia,AL,31.297142,-86.490468
Anderson,AL,34.951777,-87.272327
Annemanie,AL,32.052778,-87.570833
Anniston,AL,33.653896,-85.838152
Arab,AL,34.328339,-86.489638
Ardmore,AL,34.980447,-86.834612
Ariton,AL,31.582996,-85.707716
Arley,AL,34.063234,-87.182761
Arlington,AL,32.066784,-87.559691
Ashford,AL,31.1888,-85.253488
Ashland,AL,33.247363,-85.828976
Ashville,AL,33.837366,-86.255167
Athens,AL,34.803604,-86.970733
Atmore,AL,31.057245,-87.487347
